matchday,home,away,date
31,Torino,Hellas Verona,2025-04-06
32,Atalanta,Bologna,2025-04-13
32,Como,Torino,2025-04-13
32,Fiorentina,Parma,2025-04-13
32,Hellas Verona,Genoa,2025-04-13
32,Inter,Cagliari,2025-04-12
32,Juventus,Lecce,2025-04-12
32,Lazio,Roma,2025-04-13
32,Napoli,Empoli,2025-04-14
32,Udinese,Milan,2025-04-11
32,Venezia,Monza,2025-04-12
33,Bologna,Inter,2025-04-20
33,Cagliari,Fiorentina,2025-04-23
33,Empoli,Venezia,2025-04-20
33,Genoa,Lazio,2025-04-23
33,Lecce,Como,2025-04-19
33,Milan,Atalanta,2025-04-20
33,Monza,Napoli,2025-04-19
33,Parma,Juventus,2025-04-23
33,Roma,Hellas Verona,2025-04-19
33,Torino,Udinese,2025-04-23
34,Atalanta,Lecce,2025-04-27
34,Como,Genoa,2025-04-27
34,Fiorentina,Empoli,2025-04-27
34,Hellas Verona,Cagliari,2025-04-28
34,Inter,Roma,2025-04-27
34,Juventus,Monza,2025-04-27
34,Lazio,Parma,2025-04-28
34,Napoli,Torino,2025-04-27
34,Udinese,Bologna,2025-04-28
34,Venezia,Milan,2025-04-27
35,Bologna,Juventus,2025-05-04
35,Cagliari,Udinese,2025-05-03
35,Empoli,Lazio,2025-05-04
35,Genoa,Milan,2025-05-05
35,Inter,Hellas Verona,2025-05-03
35,Lecce,Napoli,2025-05-03
35,Monza,Atalanta,2025-05-04
35,Parma,Como,2025-05-03
35,Roma,Fiorentina,2025-05-04
35,Torino,Venezia,2025-05-02
36,Atalanta,Roma,2025-05-12
36,Como,Cagliari,2025-05-10
36,Empoli,Parma,2025-05-10
36,Hellas Verona,Lecce,2025-05-11
36,Lazio,Juventus,2025-05-10
36,Milan,Bologna,2025-05-09
36,Napoli,Genoa,2025-05-11
36,Torino,Inter,2025-05-11
36,Udinese,Monza,2025-05-11
36,Venezia,Fiorentina,2025-05-12
37,Cagliari,Venezia,2025-05-18
37,Fiorentina,Bologna,2025-05-18
37,Genoa,Atalanta,2025-05-17
37,Hellas Verona,Como,2025-05-18
37,Inter,Lazio,2025-05-18
37,Juventus,Udinese,2025-05-18
37,Lecce,Torino,2025-05-18
37,Monza,Empoli,2025-05-18
37,Parma,Napoli,2025-05-18
37,Roma,Milan,2025-05-18
38,Atalanta,Parma,2025-05-25
38,Bologna,Genoa,2025-05-24
38,Como,Inter,2025-05-23
38,Empoli,Hellas Verona,2025-05-25
38,Lazio,Lecce,2025-05-25
38,Milan,Monza,2025-05-24
38,Napoli,Cagliari,2025-05-23
38,Torino,Roma,2025-05-25
38,Udinese,Fiorentina,2025-05-25
38,Venezia,Juventus,2025-05-25
