matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
34,Genoa,Malinovskyi,c,5.5,5.5,"5,5","5,5"
34,Genoa,Cornet,c,55.0,55.0,55,55
34,Genoa,Messias,c,6.0,5.5,6,"5,5"
34,Genoa,Frendrup,c,5.5,5.5,"5,5","5,5"
34,Genoa,Ellertsson,c,5.0,5.0,5,5
34,Genoa,Amorim,c,5.5,5.5,"5,5","5,5"
34,Genoa,Colombo,a,5.5,5.5,"5,5","5,5"
34,Genoa,Vitinha O.,a,5.5,5.5,"5,5","5,5"
34,Genoa,Ekhator,a,6.0,6.0,6,6
34,Genoa,De Rossi,all,5.5,5.5,"5,5","5,5"
34,Inter,Sommer,p,6.0,4.0,6,4
34,Inter,Dimarco,d,7.0,9.0,7,9
34,Inter,Darmian,d,6.0,6.0,6,6
34,Inter,Akanji,d,6.0,6.0,6,6
34,Inter,Dumfries,d,55.0,55.0,55,55
34,Inter,Carlos Augusto,d,5.0,5.0,5,5
34,Inter,Bisseck,d,7.0,10.0,7,10
34,Inter,Zielinski,c,5.5,5.5,"5,5","5,5"
34,Inter,Barella,c,5.5,5.0,"5,5",5
34,Inter,Mkhitaryan,c,55.0,55.0,55,55
34,Inter,Frattesi,c,55.0,55.0,55,55
34,Inter,Diouf,c,55.0,55.0,55,55
34,Inter,Sucic P.,c,6.5,6.5,"6,5","6,5"
34,Inter,Thuram,a,7.0,10.0,7,10
34,Inter,Bonny,a,5.5,5.5,"5,5","5,5"
34,Inter,Esposito F.P.,a,5.5,5.5,"5,5","5,5"
34,Inter,Chivu,all,5.0,5.0,5,5
34,Juventus,Di Gregorio,p,6.0,6.0,6,6
34,Juventus,Bremer,d,6.5,6.5,"6,5","6,5"
34,Juventus,Kalulu,d,6.5,6.5,"6,5","6,5"
34,Juventus,Cambiaso,d,5.5,5.0,"5,5",5
34,Juventus,Holm,d,6.0,6.0,6,6
34,Juventus,Kelly L.,d,6.0,6.0,6,6
34,Juventus,Locatelli,c,6.0,5.5,6,"5,5"
34,Juventus,McKennie,c,6.0,6.0,6,6
34,Juventus,Thuram K.,c,6.5,6.5,"6,5","6,5"
34,Juventus,Koopmeiners,c,6.0,6.0,6,6
34,Juventus,Zhegrova,c,55.0,55.0,55,55
34,Juventus,Conceicao,c,6.5,6.5,"6,5","6,5"
34,Juventus,Boga,a,5.0,4.5,5,"4,5"
34,Juventus,Vlahovic,a,55.0,55.0,55,55
34,Juventus,David,a,6.0,6.0,6,6
34,Juventus,Yildiz,a,55.0,55.0,55,55
34,Juventus,Spalletti,all,6.0,6.0,6,6
34,Lazio,Motta,p,5.0,2.0,5,2
34,Lazio,Patric,d,5.5,5.0,"5,5",5
34,Lazio,Romagnoli,d,6.5,6.5,"6,5","6,5"
34,Lazio,Lazzari,d,5.5,5.5,"5,5","5,5"
34,Lazio,Pellegrini Lu.,d,7.0,9.5,7,"9,5"
34,Lazio,Tavares N.,d,5.5,5.5,"5,5","5,5"
34,Lazio,Provstgaard,d,5.5,5.5,"5,5","5,5"
34,Lazio,Maldini,c,7.0,10.0,7,10
34,Lazio,Basic,c,6.5,7.5,"6,5","7,5"
34,Lazio,Isaksen,c,6.5,6.5,"6,5","6,5"
34,Lazio,Dele-Bashiru,c,5.5,5.5,"5,5","5,5"
34,Lazio,Taylor K.,c,6.0,6.0,6,6
34,Lazio,Pedro,a,7.5,11.5,"7,5","11,5"
34,Lazio,Cancellieri,a,6.0,5.5,6,"5,5"
34,Lazio,Dia,a,5.0,5.0,5,5
34,Lazio,Noslin,a,6.0,6.0,6,6
34,Lazio,Sarri,all,6.0,6.0,6,6
34,Lecce,Falcone,p,6.5,6.5,"6,5","6,5"
34,Lecce,Gallo,d,6.0,6.0,6,6
34,Lecce,Jean,d,6.0,6.0,6,6
34,Lecce,Veiga D.,d,6.0,5.5,6,"5,5"
34,Lecce,Siebert,d,6.5,6.5,"6,5","6,5"
34,Lecce,Coulibaly L.,c,6.0,5.5,6,"5,5"
34,Lecce,Ramadani,c,6.0,5.5,6,"5,5"
34,Lecce,Pierotti,c,5.5,5.5,"5,5","5,5"
34,Lecce,Gandelman,c,5.5,5.5,"5,5","5,5"
34,Lecce,Ngom,c,6.0,6.0,6,6
34,Lecce,Banda,a,6.0,6.0,6,6
34,Lecce,Cheddira,a,5.5,5.0,"5,5",5
34,Lecce,Camarda,a,55.0,55.0,55,55
34,Lecce,N'Dri,a,5.5,5.0,"5,5",5
34,Lecce,Stulic,a,5.0,5.0,5,5
34,Lecce,Di Francesco,all,5.5,5.5,"5,5","5,5"
34,Milan,Maignan,p,6.0,6.0,6,6
34,Milan,Gabbia,d,6.0,6.0,6,6
34,Milan,Tomori,d,6.5,6.5,"6,5","6,5"
34,Milan,Pavlovic,d,6.5,6.5,"6,5","6,5"
34,Milan,Estupinan,d,5.5,5.0,"5,5",5
34,Milan,Bartesaghi,d,5.5,5.0,"5,5",5
34,Milan,Rabiot,c,6.5,6.5,"6,5","6,5"
34,Milan,Pulisic,c,5.5,5.5,"5,5","5,5"
34,Milan,Modric,c,6.0,6.0,6,6
34,Milan,Fofana Y.,c,6.0,6.0,6,6
34,Milan,Saelemaekers,c,6.5,6.5,"6,5","6,5"
34,Milan,Ricci S.,c,6.0,6.0,6,6
34,Milan,Jashari,c,55.0,55.0,55,55
34,Milan,Fullkrug,a,6.0,6.0,6,6
34,Milan,Leao,a,6.0,6.0,6,6
34,Milan,Nkunku,a,55.0,55.0,55,55
34,Milan,Allegri,all,6.0,6.0,6,6
34,Napoli,Milinkovic-Savic V.,p,6.5,6.5,"6,5","6,5"
34,Napoli,Buongiorno,d,6.0,6.0,6,6
34,Napoli,Rrahmani,d,6.5,6.5,"6,5","6,5"
34,Napoli,Gutierrez,d,6.5,6.5,"6,5","6,5"
34,Napoli,Mazzocchi,d,6.0,6.0,6,6
34,Napoli,Olivera,d,6.5,6.5,"6,5","6,5"
34,Napoli,Beukema,d,6.0,6.0,6,6
34,Napoli,Politano,c,6.5,6.5,"6,5","6,5"
34,Napoli,De Bruyne,c,7.5,11.5,"7,5","11,5"
34,Napoli,Lobotka,c,6.0,6.0,6,6
34,Napoli,Elmas,c,55.0,55.0,55,55
34,Napoli,McTominay,c,7.5,7.5,"7,5","7,5"
34,Napoli,Gilmour,c,6.5,6.5,"6,5","6,5"
34,Napoli,Santos A.,c,7.5,10.5,"7,5","10,5"
34,Napoli,Hojlund,a,7.0,7.0,7,7
34,Napoli,Giovane,a,6.0,6.0,6,6
34,Napoli,Conte,all,6.5,6.5,"6,5","6,5"
34,Parma,Suzuki,p,6.5,6.5,"6,5","6,5"
34,Parma,Valeri,d,6.5,6.5,"6,5","6,5"
34,Parma,Circati,d,6.0,6.0,6,6
34,Parma,Delprato,d,6.0,6.0,6,6
