matchday,team,oppteam,home,goals_for,goals_against
16,Sassuolo,Torino,1,0,1
16,Torino,Sassuolo,0,1,0
16,Udinese,Fiorentina,0,1,5
17,Atalanta,Inter,1,0,1
17,Bologna,Sassuolo,1,1,1
17,Cagliari,Torino,0,2,1
17,Como,Lecce,0,3,0
17,Cremonese,Napoli,1,0,2
17,Fiorentina,Parma,0,0,1
17,Genoa,Roma,0,1,3
17,Hellas Verona,Milan,0,0,3
17,Inter,Atalanta,0,1,0
17,Juventus,Pisa,0,2,0
17,Lazio,Udinese,0,1,1
17,Lecce,Como,1,0,3
17,Milan,Hellas Verona,1,3,0
17,Napoli,Cremonese,0,2,0
17,Parma,Fiorentina,1,1,0
17,Pisa,Juventus,1,0,2
17,Roma,Genoa,1,3,1
17,Sassuolo,Bologna,0,1,1
17,Torino,Cagliari,1,1,2
17,Udinese,Lazio,1,1,1
18,Atalanta,Roma,1,1,0
18,Bologna,Inter,0,1,3
18,Cagliari,Milan,1,0,1
18,Como,Udinese,1,1,0
18,Cremonese,Fiorentina,0,0,1
18,Fiorentina,Cremonese,1,1,0
18,Genoa,Pisa,1,1,1
18,Hellas Verona,Torino,1,0,3
18,Inter,Bologna,1,3,1
18,Juventus,Lecce,1,1,1
18,Lazio,Napoli,1,0,2
18,Lecce,Juventus,0,1,1
18,Milan,Cagliari,0,1,0
18,Napoli,Lazio,0,2,0
18,Parma,Sassuolo,0,1,1
18,Pisa,Genoa,0,1,1
18,Roma,Atalanta,0,0,1
18,Sassuolo,Parma,1,1,1
18,Torino,Hellas Verona,0,3,0
18,Udinese,Como,0,0,1
19,Atalanta,Bologna,0,2,0
19,Bologna,Atalanta,1,0,2
19,Cagliari,Cremonese,0,2,2
19,Como,Pisa,0,3,0
19,Cremonese,Cagliari,1,2,2
19,Fiorentina,Lazio,0,2,2
19,Genoa,Milan,0,1,1
19,Hellas Verona,Napoli,0,2,2
19,Inter,Parma,0,2,0
19,Juventus,Sassuolo,0,3,0
19,Lazio,Fiorentina,1,2,2
19,Lecce,Roma,1,0,2
19,Milan,Genoa,1,1,1
19,Napoli,Hellas Verona,1,2,2
19,Parma,Inter,1,0,2
19,Pisa,Como,1,0,3
19,Roma,Lecce,0,2,0
19,Sassuolo,Juventus,1,0,3
19,Torino,Udinese,1,1,2
19,Udinese,Torino,0,2,1
20,Atalanta,Torino,1,2,0
20,Bologna,Como,0,1,1
20,Cagliari,Genoa,0,0,3
20,Como,Bologna,1,1,1
20,Cremonese,Juventus,0,0,5
20,Fiorentina,Milan,1,1,1
20,Genoa,Cagliari,1,3,0
20,Hellas Verona,Lazio,1,0,1
20,Inter,Napoli,1,2,2
20,Juventus,Cremonese,1,5,0
20,Lazio,Hellas Verona,0,1,0
20,Lecce,Parma,1,1,2
20,Milan,Fiorentina,0,1,1
20,Napoli,Inter,0,2,2
20,Parma,Lecce,0,2,1
20,Pisa,Udinese,0,2,2
20,Roma,Sassuolo,1,2,0
20,Sassuolo,Roma,0,0,2
20,Torino,Atalanta,0,0,2
20,Udinese,Pisa,1,2,2
21,Atalanta,Pisa,0,1,1
21,Bologna,Fiorentina,1,1,2
21,Cagliari,Juventus,1,1,0
21,Como,Lazio,0,3,0
21,Cremonese,Hellas Verona,1,0,0
21,Fiorentina,Bologna,0,2,1
21,Genoa,Parma,0,0,0
21,Hellas Verona,Cremonese,0,0,0
21,Inter,Udinese,0,1,0
21,Juventus,Cagliari,0,0,1
21,Lazio,Como,1,0,3
21,Lecce,Milan,0,0,1
21,Milan,Lecce,1,1,0
21,Napoli,Sassuolo,1,1,0
21,Parma,Genoa,1,0,0
21,Pisa,Atalanta,1,1,1
21,Roma,Torino,0,2,0
21,Sassuolo,Napoli,0,0,1
21,Torino,Roma,1,0,2
21,Udinese,Inter,1,0,1
22,Atalanta,Parma,1,4,0
22,Bologna,Genoa,0,2,3
22,Cagliari,Fiorentina,0,2,1
22,Como,Torino,1,6,0
22,Cremonese,Sassuolo,0,0,1
22,Fiorentina,Cagliari,1,1,2
